Nodes: 100 ; PnoC: 0.900500
Nodes: 200 ; PnoC: 0.809500
Nodes: 300 ; PnoC: 0.727100
Nodes: 400 ; PnoC: 0.663400
Nodes: 500 ; PnoC: 0.587400
Nodes: 600 ; PnoC: 0.532300
Nodes: 700 ; PnoC: 0.483800
Nodes: 800 ; PnoC: 0.436100
Nodes: 900 ; PnoC: 0.382300
Nodes: 1000 ; PnoC: 0.349200
Nodes: 1100 ; PnoC: 0.314800
Nodes: 1200 ; PnoC: 0.286700
Nodes: 1300 ; PnoC: 0.257800
Nodes: 1400 ; PnoC: 0.230600
Nodes: 1500 ; PnoC: 0.205900
Nodes: 1600 ; PnoC: 0.186700
Nodes: 1700 ; PnoC: 0.166400
Nodes: 1800 ; PnoC: 0.140600
Nodes: 1900 ; PnoC: 0.129800
Nodes: 2000 ; PnoC: 0.113400
Nodes: 2100 ; PnoC: 0.110100
Nodes: 2200 ; PnoC: 0.094700
Nodes: 2300 ; PnoC: 0.086400
Nodes: 2400 ; PnoC: 0.079100
Nodes: 2500 ; PnoC: 0.067100
Nodes: 2600 ; PnoC: 0.065500
Nodes: 2700 ; PnoC: 0.058000
Nodes: 2800 ; PnoC: 0.052500
Nodes: 2900 ; PnoC: 0.046200
Nodes: 3000 ; PnoC: 0.039000
Nodes: 3100 ; PnoC: 0.038100
Nodes: 3200 ; PnoC: 0.035000
Nodes: 3300 ; PnoC: 0.031800
Nodes: 3400 ; PnoC: 0.028200
Nodes: 3500 ; PnoC: 0.022400
Nodes: 3600 ; PnoC: 0.022000
Nodes: 3700 ; PnoC: 0.022200
Nodes: 3800 ; PnoC: 0.018600
Nodes: 3900 ; PnoC: 0.016300
Nodes: 4000 ; PnoC: 0.013600
